trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.5, 'e': 0.6859999999999997}",35,0,-90.38710859829122,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.6839999999999997}",25,8,-83.7479685306965,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.6819999999999997}",20,7,-27.31889098123169,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-41.82826058989937,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.6779999999999997}",20,8,-45.025699181001734,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.6759999999999997}",25,0,-144.13958738019357,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.6739999999999997}",25,0,-138.30941888839533,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.6719999999999997}",30,6,-71.60186396618333,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-58.74269396961802,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.6679999999999997}",30,14,-32.32487316558607,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.6659999999999997}",20,0,-89.92652442193112,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.6639999999999997}",20,13,1.1538920812574756,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.6619999999999997}",30,0,-38.17145178007105,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-73.46779382590324,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.6579999999999997}",25,4,-136.73972700177882,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 3}",1
172,False,"{'a': 0.5, 'e': 0.6559999999999997}",20,0,-75.0247692075557,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.6539999999999997}",20,4,-8.703636497981007,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.6519999999999997}",25,17,11.536760978725235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-55.26949466718871,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.6479999999999997}",30,8,-0.8030600563011656,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.6459999999999997}",20,0,-70.76117538291298,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.6439999999999997}",20,1,-86.404608530486,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
179,False,"{'a': 0.5, 'e': 0.6419999999999997}",25,0,-70.06165085547266,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,15,8.302508923113233,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.6379999999999997}",25,10,-89.06197559058658,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 2}",1
182,False,"{'a': 0.5, 'e': 0.6359999999999997}",20,11,-19.673429917166274,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.6339999999999997}",20,7,-47.870255316264426,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
184,False,"{'a': 0.5, 'e': 0.6319999999999997}",30,15,-72.73399025302385,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
